time,RA,DEC,AZ
87.99,97.3756,-25.3244,-120.3956
88.01,97.3756,-25.3244,-88.2331
88.03,97.4164,-25.3124,-77.1734
88.05,97.4378,-25.3057,-68.2569
88.07,97.44,-25.3011,-56.6525
88.09,97.4281,-25.298,-36.749
88.11,97.4075,-25.2919,-6.5319
88.13,97.3807,-25.279,31.9479
88.15,97.3511,-25.2598,78.8143
88.17,97.3171,-25.2348,109.5057
88.19,97.2845,-25.2071,134.817
88.21,97.2501,-25.1824,153.1198
88.23,97.2209,-25.1618,163.5447
88.25,97.1911,-25.1411,169.163
88.27,97.1641,-25.1234,173.3782
88.29,97.135,-25.1042,177.7702
88.31,97.1096,-25.0844,-178.5229
88.33,97.0817,-25.0659,-177.2402
88.35,97.0575,-25.0481,-179.0033
88.37,97.0325,-25.032,176.2313
88.39,97.0092,-25.0177,168.9653
88.41,96.9856,-25.003,159.6081
88.43,96.9634,-24.9897,148.2433
88.45,96.9417,-24.9768,134.941
88.47,96.9205,-24.9638,119.6808
88.49,96.9013,-24.9518,113.1369
88.51,96.8819,-24.9397,114.8354
88.53,96.8654,-24.9289,116.4551
88.55,96.8482,-24.9179,118.0037
88.57,96.8335,-24.9067,119.5594
88.59,96.8175,-24.895,121.1434
88.61,96.8053,-24.8834,122.7478
88.63,96.7917,-24.8715,124.3543
88.65,96.7815,-24.8604,125.894
88.67,96.7707,-24.8492,127.4276
88.69,96.7621,-24.8373,128.9669
88.71,96.7524,-24.8263,130.5183
88.73,96.7456,-24.8142,132.0434
88.75,96.7392,-24.8032,133.544
88.77,96.7345,-24.7918,135.0568
88.79,96.7304,-24.7805,136.5853
88.81,96.728,-24.7692,138.1117
88.83,96.7262,-24.758,139.6243
88.85,96.726,-24.7467,141.0858
88.87,96.7281,-24.7356,142.586
88.89,96.7299,-24.7245,144.1085
88.91,96.7347,-24.7133,145.6155
88.93,96.7395,-24.702,147.0784
88.95,96.7468,-24.6905,148.5296
88.97,96.7537,-24.6792,150.0067
88.99,96.7636,-24.6678,151.5116
89.01,96.7734,-24.656,153.0053
89.03,96.786,-24.6439,154.4607
89.05,96.7981,-24.6317,155.8992
89.07,96.8132,-24.6187,157.373
89.09,96.8285,-24.6065,158.8594
89.11,96.8461,-24.5928,160.3301
89.13,96.8642,-24.5796,161.7603
89.15,96.8841,-24.5651,163.1847
89.17,96.9049,-24.5505,164.6365
89.19,96.9274,-24.5353,166.1074
89.21,96.9506,-24.5198,167.5627
89.23,96.9752,-24.5035,168.9916
89.25,97.0014,-24.487,170.4089
89.27,97.0279,-24.4694,171.8571
89.29,97.0567,-24.4517,173.3147
89.31,97.0856,-24.4337,174.7562
89.33,97.1165,-24.4146,176.1726
89.35,97.148,-24.3964,177.5687
89.37,97.1812,-24.3754,179.0064
89.39,97.2141,-24.3564,-179.5438
89.41,97.2502,-24.3348,-178.1174
89.43,97.2855,-24.3146,-176.7205
89.45,97.3237,-24.2921,-175.3364
89.47,97.3614,-24.2705,-173.9309
89.49,97.4012,-24.2472,-172.4821
89.51,97.4411,-24.225,-171.0701
89.53,97.4822,-24.2016,-169.6688
89.55,97.5247,-24.1779,-168.3027
89.57,97.5683,-24.154,-166.9336
89.59,97.6126,-24.129,-165.523
89.61,97.659,-24.1065,-164.1265
89.63,97.7068,-24.0821,-162.7499
89.65,97.7551,-24.0591,-161.3685
89.67,97.8057,-24.0364,-160.0137
89.69,97.8569,-24.0135,-158.6442
89.71,97.9103,-23.9907,-157.2627
89.73,97.9652,-23.9694,-155.8775
89.75,98.0206,-23.947,-154.5192
89.77,98.0784,-23.9267,-153.189
89.79,98.137,-23.9055,-151.8513
89.81,98.1969,-23.885,-150.489
89.83,98.2595,-23.8643,-149.117
89.85,98.3224,-23.8442,-147.7795
89.87,98.3881,-23.825,-146.4613
89.89,98.4546,-23.8055,-145.1545
89.91,98.5223,-23.7867,-143.8315
89.93,98.5928,-23.7675,-142.4661
89.95,98.6638,-23.7492,-141.1181
89.97,98.7375,-23.7309,-139.8026
89.99,98.812,-23.7128,-138.5052
90.01,98.8882,-23.695,-137.2225
90.03,98.967,-23.6772,-135.9014
90.05,99.0464,-23.6594,-134.5699
90.07,99.1284,-23.6423,-133.2576
90.09,99.2125,-23.625,-131.9686
90.11,99.2969,-23.6077,-130.7002
90.13,99.3851,-23.5902,-129.42
90.15,99.4733,-23.5726,-128.1056
90.17,99.5643,-23.5558,-126.7781
90.19,99.6576,-23.5384,-125.4946
90.21,99.7518,-23.5213,-124.2314
90.23,99.8493,-23.5034,-122.9897
90.25,99.9474,-23.4861,-121.7497
90.27,100.0478,-23.4682,-120.4593
90.29,100.1505,-23.4505,-119.1683
90.31,100.2543,-23.4325,-117.8902
90.33,100.3608,-23.4144,-116.6413
90.35,100.4691,-23.3955,-115.4158
90.37,100.579,-23.3767,-114.1904
90.39,100.6912,-23.3568,-112.9296
90.41,100.8051,-23.3372,-111.662
90.43,100.9207,-23.3166,-110.4167
90.45,101.0386,-23.2954,-109.1788
90.47,101.1574,-23.2738,-107.9727
90.49,101.2789,-23.2515,-106.7587
