# Time,nT,Gauss
8.798999999999999488e+01, nan, nan
8.801000000000000512e+01, -3.376736096033827926e+04, -3.376736096033828294e-01
8.803000000000000114e+01, -3.813295464397774049e+04, -3.813295464397774559e-01
8.804999999999999716e+01, -4.160686511793668615e+04, -4.160686511793669218e-01
8.806999999999999318e+01, -4.591526014397745166e+04, -4.591526014397745437e-01
8.809000000000000341e+01, -5.228641305710716551e+04, -5.228641305710717280e-01
8.810999999999999943e+01, -5.810104069180916849e+04, -5.810104069180916930e-01
8.812999999999999545e+01, -5.685062195830894780e+04, -5.685062195830895559e-01
8.815000000000000568e+01, -4.358913865984466247e+04, -4.358913865984466729e-01
8.817000000000000171e+01, -3.163326946506967943e+04, -3.163326946506967996e-01
8.818999999999999773e+01, -2.258448368442458377e+04, -2.258448368442458609e-01
8.820999999999999375e+01, -1.758024145263703031e+04, -1.758024145263703264e-01
8.823000000000000398e+01, -1.554147405961259028e+04, -1.554147405961259221e-01
8.825000000000000000e+01, -1.471786630613984926e+04, -1.471786630613985125e-01
8.826999999999999602e+01, -1.423340933406858494e+04, -1.423340933406858633e-01
8.829000000000000625e+01, -1.385390776178404849e+04, -1.385390776178404837e-01
8.831000000000000227e+01, -1.363512423459507409e+04, -1.363512423459507517e-01
8.832999999999999829e+01, -1.357552203591353646e+04, -1.357552203591353701e-01
8.834999999999999432e+01, -1.364201553575487378e+04, -1.364201553575487558e-01
8.837000000000000455e+01, -1.393948998417759140e+04, -1.393948998417759155e-01
8.839000000000000057e+01, -1.469044091612447664e+04, -1.469044091612447811e-01
8.840999999999999659e+01, -1.616349490729362515e+04, -1.616349490729362681e-01
8.843000000000000682e+01, -1.866129019901740321e+04, -1.866129019901740516e-01
8.845000000000000284e+01, -2.244512243438560108e+04, -2.244512243438560317e-01
8.846999999999999886e+01, -2.767216529140821149e+04, -2.767216529140821279e-01
8.848999999999999488e+01, -3.011402643566290863e+04, -3.011402643566291060e-01
8.851000000000000512e+01, -2.946443029112412478e+04, -2.946443029112412737e-01
8.853000000000000114e+01, -2.884970636624471445e+04, -2.884970636624471507e-01
8.854999999999999716e+01, -2.826812450838787117e+04, -2.826812450838787072e-01
8.856999999999999318e+01, -2.769005392064543048e+04, -2.769005392064543547e-01
8.859000000000000341e+01, -2.710652520142036155e+04, -2.710652520142036170e-01
8.860999999999999943e+01, -2.652434566454513333e+04, -2.652434566454513476e-01
8.862999999999999545e+01, -2.594750438526227663e+04, -2.594750438526227665e-01
8.865000000000000568e+01, -2.540377422775965533e+04, -2.540377422775965677e-01
8.867000000000000171e+01, -2.486958767142816941e+04, -2.486958767142817273e-01
8.868999999999999773e+01, -2.434095128126888812e+04, -2.434095128126889107e-01
8.870999999999999375e+01, -2.381747656483846367e+04, -2.381747656483846620e-01
8.873000000000000398e+01, -2.331110345802017400e+04, -2.331110345802017703e-01
8.875000000000000000e+01, -2.282278345670734780e+04, -2.282278345670734898e-01
8.876999999999999602e+01, -2.233990702707541641e+04, -2.233990702707541742e-01
8.879000000000000625e+01, -2.186104842274920884e+04, -2.186104842274921023e-01
8.881000000000000227e+01, -2.139405032295270939e+04, -2.139405032295271236e-01
8.882999999999999829e+01, -2.094078166162678099e+04, -2.094078166162678389e-01
8.884999999999999432e+01, -2.051394350880717684e+04, -2.051394350880717810e-01
8.887000000000000455e+01, -2.008674391509163979e+04, -2.008674391509164270e-01
8.889000000000000057e+01, -1.966357502176738853e+04, -1.966357502176739047e-01
8.890999999999999659e+01, -1.925739208467458593e+04, -1.925739208467458774e-01
8.893000000000000682e+01, -1.887339407824058071e+04, -1.887339407824058235e-01
8.895000000000000284e+01, -1.850482202409708043e+04, -1.850482202409708121e-01
8.896999999999999886e+01, -1.814103069090803183e+04, -1.814103069090803322e-01
8.898999999999999488e+01, -1.778258447219118898e+04, -1.778258447219119021e-01
8.901000000000000512e+01, -1.743978883954661433e+04, -1.743978883954661607e-01
8.903000000000000114e+01, -1.711781489404028980e+04, -1.711781489404029244e-01
8.904999999999999716e+01, -1.681217852542040782e+04, -1.681217852542040980e-01
8.906999999999999318e+01, -1.651201809721545942e+04, -1.651201809721546121e-01
8.909000000000000341e+01, -1.622189367457146363e+04, -1.622189367457146369e-01
8.910999999999999943e+01, -1.594882565782636084e+04, -1.594882565782636263e-01
8.912999999999999545e+01, -1.569554152450273614e+04, -1.569554152450273743e-01
8.915000000000000568e+01, -1.545679273963437299e+04, -1.545679273963437295e-01
8.917000000000000171e+01, -1.522655418552564151e+04, -1.522655418552564255e-01
8.918999999999999773e+01, -1.500662927781649523e+04, -1.500662927781649669e-01
8.920999999999999375e+01, -1.480329888961035431e+04, -1.480329888961035567e-01
8.923000000000000398e+01, -1.461665617109464620e+04, -1.461665617109464688e-01
8.925000000000000000e+01, -1.444564269075519042e+04, -1.444564269075519214e-01
8.926999999999999602e+01, -1.428430212264036163e+04, -1.428430212264036325e-01
8.929000000000000625e+01, -1.413590887106201808e+04, -1.413590887106201954e-01
8.931000000000000227e+01, -1.400356171031905433e+04, -1.400356171031905683e-01
8.932999999999999829e+01, -1.388692215146072704e+04, -1.388692215146072884e-01
8.934999999999999432e+01, -1.378606942285258447e+04, -1.378606942285258430e-01
8.937000000000000455e+01, -1.369582881439764060e+04, -1.369582881439764255e-01
8.939000000000000057e+01, -1.361873063821175128e+04, -1.361873063821175123e-01
8.940999999999999659e+01, -1.355776784547572970e+04, -1.355776784547572944e-01
8.943000000000000682e+01, -1.351113550285919519e+04, -1.351113550285919507e-01
8.945000000000000284e+01, -1.347911363147323573e+04, -1.347911363147323571e-01
8.946999999999999886e+01, -1.345987976872380932e+04, -1.345987976872380920e-01
8.948999999999999488e+01, -1.345391906032370753e+04, -1.345391906032370744e-01
8.951000000000000512e+01, -1.346270104971861110e+04, -1.346270104971861170e-01
8.953000000000000114e+01, -1.348462576565470226e+04, -1.348462576565470361e-01
8.954999999999999716e+01, -1.351995839671836438e+04, -1.351995839671836508e-01
8.956999999999999318e+01, -1.356832541642527576e+04, -1.356832541642527812e-01
8.959000000000000341e+01, -1.363097786142850782e+04, -1.363097786142850876e-01
8.960999999999999943e+01, -1.370759125598982428e+04, -1.370759125598982608e-01
8.962999999999999545e+01, -1.379577267614168886e+04, -1.379577267614169045e-01
