time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
87.99,97.3756,-25.3244,-120.3956,,,,,,,
88.01,97.3756,-25.3244,-88.2331,7.93182979357,59.8609755487,22622.177129,22405.7497466,3121.74251837,38964.1137267,45055.1335207
88.03,97.4164,-25.3124,-77.1734,7.93170268407,59.8609796877,22621.313609,22404.9014131,3121.5736523,38962.6328941,45053.419309
88.05,97.4378,-25.3057,-68.2569,7.93170881402,59.8610392891,22621.2912009,22404.8788854,3121.5729572,38962.6876397,45053.4554025
88.07,97.44,-25.3011,-56.6525,7.93170881402,59.8610392891,22621.2912009,22404.8788854,3121.5729572,38962.6876397,45053.4554025
88.09,97.4281,-25.298,-36.749,7.93158854869,59.8611094445,22620.4032244,22404.0059559,3121.40339634,38961.2680633,45051.7818863
88.11,97.4075,-25.2919,-6.5319,7.93158854869,59.8611094445,22620.4032244,22404.0059559,3121.40339634,38961.2680633,45051.7818863
88.13,97.3807,-25.279,31.9479,7.93146440992,59.8611123742,22619.5408602,22403.1586041,3121.23585882,38959.7873192,45050.0683316
88.15,97.3511,-25.2598,78.8143,7.93147091641,59.861175643,22619.5170749,22403.1346918,3121.23512081,38959.845429,45050.106643
88.17,97.3171,-25.2348,109.5057,7.93147091641,59.861175643,22619.5170749,22403.1346918,3121.23512081,38959.845429,45050.106643
88.19,97.2845,-25.2071,134.817,7.93135046022,59.8612430412,22618.6307555,22402.2634128,3121.06572131,38958.4243731,45048.4326797
88.21,97.2501,-25.1824,153.1198,7.93135046022,59.8612430412,22618.6307555,22402.2634128,3121.06572131,38958.4243731,45048.4326797
88.23,97.2209,-25.1618,163.5447,7.93122314338,59.8612473391,22617.7685229,22401.4163633,3120.89696672,38956.94599,45046.7212328
88.25,97.1911,-25.1411,169.163,7.93122993204,59.8613133584,22617.7437052,22401.3914132,3120.89619648,38957.0066213,45046.7612066
88.27,97.1641,-25.1234,173.3782,7.93122993204,59.8613133584,22617.7437052,22401.3914132,3120.89619648,38957.0066213,45046.7612066
88.29,97.135,-25.1042,177.7702,7.93110956793,59.8613807502,22616.8580091,22400.5207452,3120.72692633,38955.5866129,45045.0884621
88.31,97.1096,-25.0844,-178.5229,7.93110956793,59.8613807502,22616.8580091,22400.5207452,3120.72692633,38955.5866129,45045.0884621
88.33,97.0817,-25.0659,-177.2402,7.93098234386,59.861385042,22615.9963979,22399.6743048,3120.55830121,38954.1092818,45043.3782371
88.35,97.0575,-25.0481,-179.0033,7.93098884898,59.8614483101,22615.972616,22399.650396,3120.55756293,38954.167382,45043.4165422
88.37,97.0325,-25.032,176.2313,7.93098884898,59.8614483101,22615.972616,22399.650396,3120.55756293,38954.167382,45043.4165422
88.39,97.0092,-25.0177,168.9653,7.93086848262,59.8615147785,22615.0878872,22398.780685,3120.38843272,38952.7475783,45041.7444605
88.41,96.9856,-25.003,159.6081,7.93086848262,59.8615147785,22615.0878872,22398.780685,3120.38843272,38952.7475783,45041.7444605
88.43,96.9634,-24.9897,148.2433,7.93074174415,59.8615188931,22614.2268523,22397.9347877,3120.2200844,38951.2709541,45040.0351362
88.45,96.9417,-24.9768,134.941,7.93074824858,59.8615821609,22614.2030721,22397.9108807,3120.21934599,38951.3290495,45040.0734381
88.47,96.9205,-24.9638,119.6808,7.93074824858,59.8615821609,22614.2030721,22397.9108807,3120.21934599,38951.3290495,45040.0734381
88.49,96.9013,-24.9518,113.1369,7.9306309303,59.8616483374,22613.3190493,22397.0417017,3120.05151203,38949.9099894,45038.4023541
88.51,96.8819,-24.9397,114.8354,7.9306309303,59.8616483374,22613.3190493,22397.0417017,3120.05151203,38949.9099894,45038.4023541
88.53,96.8654,-24.9289,116.4551,7.93050430048,59.8616524453,22612.4587411,22396.196517,3119.88331382,38948.4345979,45036.6944607
88.55,96.8482,-24.9179,118.0037,7.93051070996,59.8617147959,22612.4353072,22396.1729582,3119.88258598,38948.4918466,45036.7322043
88.57,96.8335,-24.9067,119.5594,7.93051070996,59.8617147959,22612.4353072,22396.1729582,3119.88258598,38948.4918466,45036.7322043
88.59,96.8175,-24.895,121.1434,7.93039059008,59.8617860078,22611.5500391,22395.3026972,3119.71349233,38947.0785092,45035.0654443
88.61,96.8053,-24.8834,122.7478,7.93039059008,59.8617860078,22611.5500391,22395.3026972,3119.71349233,38947.0785092,45035.0654443
88.63,96.7917,-24.8715,124.3543,7.9302673075,59.8617887362,22610.6907353,22394.4583237,3119.54674839,38945.6026793,45033.357676
88.65,96.7815,-24.8604,125.894,7.93027371631,59.8618510864,22610.667303,22394.4347665,3119.54602042,38945.6599232,45033.3954165
88.67,96.7707,-24.8492,127.4276,7.93027371631,59.8618510864,22610.667303,22394.4347665,3119.54602042,38945.6599232,45033.3954165
88.69,96.7621,-24.8373,128.9669,7.93015044967,59.8619198266,22609.7836076,22393.5662333,3119.37592113,38944.2454093,45031.7284287
88.71,96.7524,-24.8263,130.5183,7.93015044967,59.8619198266,22609.7836076,22393.5662333,3119.37592113,38944.2454093,45031.7284287
88.73,96.7456,-24.8142,132.0434,7.93002359634,59.861924094,22608.9244794,22392.722227,3119.2078132,38942.772283,45030.0230869
88.75,96.7392,-24.8032,133.544,7.93003009871,59.8619873608,22608.9007042,22392.6983252,3119.20707438,38942.830364,45030.0613792
88.77,96.7345,-24.7918,135.0568,7.93003009871,59.8619873608,22608.9007042,22392.6983252,3119.20707438,38942.830364,45030.0613792
88.79,96.7304,-24.7805,136.5853,7.929912962,59.8620526013,22608.0188929,22391.831323,3119.03963812,38941.4136014,45028.3933928
